pit: -2.40, rol: -1.44, yaw: -27.17, acc_x: 1520, acc_y: 1568, acc_z: 15112, gyr_x: 18, gyr_y: -264, gyr_z: 40, temp: 1313
pit: -4.13, rol: 0.26, yaw: -27.87, acc_x: 888, acc_y: 3048, acc_z: 15398, gyr_x: 216, gyr_y: 94, gyr_z: -28, temp: 1313
pit: -2.19, rol: 0.60, yaw: -27.74, acc_x: -1186, acc_y: 500, acc_z: 17464, gyr_x: -230, gyr_y: 649, gyr_z: 113, temp: 1311
pit: -1.66, rol: 0.59, yaw: -27.31, acc_x: 688, acc_y: 2066, acc_z: 11142, gyr_x: -69, gyr_y: -277, gyr_z: -100, temp: 1312
pit: -0.84, rol: -1.33, yaw: -26.84, acc_x: -732, acc_y: 348, acc_z: 14196, gyr_x: -137, gyr_y: -253, gyr_z: 93, temp: 1312
pit: -2.47, rol: -1.78, yaw: -26.61, acc_x: 312, acc_y: 1428, acc_z: 13368, gyr_x: -227, gyr_y: -110, gyr_z: -16, temp: 1311
pit: -3.44, rol: -1.92, yaw: -27.33, acc_x: 18, acc_y: 2326, acc_z: 14700, gyr_x: -14, gyr_y: 44, gyr_z: -178, temp: 1311
pit: -3.67, rol: -1.17, yaw: -28.47, acc_x: -820, acc_y: 2938, acc_z: 15446, gyr_x: -71, gyr_y: 147, gyr_z: -97, temp: 1312
pit: -1.90, rol: -1.84, yaw: -28.84, acc_x: 840, acc_y: 1432, acc_z: 17192, gyr_x: -160, gyr_y: 305, gyr_z: 89, temp: 1312
pit: -2.15, rol: -2.24, yaw: -29.35, acc_x: 1472, acc_y: 592, acc_z: 14052, gyr_x: 31, gyr_y: -97, gyr_z: -40, temp: 1309
pit: -1.77, rol: -3.76, yaw: -29.89, acc_x: 1512, acc_y: 392, acc_z: 15012, gyr_x: -38, gyr_y: 195, gyr_z: 17, temp: 1309
pit: -2.68, rol: -3.25, yaw: -31.13, acc_x: 1814, acc_y: 1108, acc_z: 12696, gyr_x: 188, gyr_y: -80, gyr_z: -93, temp: 1312
pit: -4.97, rol: -2.03, yaw: -32.52, acc_x: 2156, acc_y: 2790, acc_z: 12694, gyr_x: 294, gyr_y: -249, gyr_z: -56, temp: 1310
pit: -6.07, rol: -1.31, yaw: -34.11, acc_x: 1094, acc_y: 1334, acc_z: 16344, gyr_x: 117, gyr_y: 173, gyr_z: -56, temp: 1311
pit: -5.20, rol: -0.81, yaw: -34.78, acc_x: -892, acc_y: 1750, acc_z: 17428, gyr_x: -160, gyr_y: 271, gyr_z: 126, temp: 1307
pit: -4.93, rol: -0.68, yaw: -34.33, acc_x: 514, acc_y: 2476, acc_z: 13260, gyr_x: -8, gyr_y: -323, gyr_z: -159, temp: 1307
pit: -4.25, rol: -2.02, yaw: -33.99, acc_x: 402, acc_y: 370, acc_z: 13974, gyr_x: -12, gyr_y: -298, gyr_z: 18, temp: 1304
pit: -6.11, rol: -2.25, yaw: -34.52, acc_x: 446, acc_y: 1480, acc_z: 12578, gyr_x: -195, gyr_y: -163, gyr_z: -44, temp: 1309
pit: -6.85, rol: -2.39, yaw: -34.69, acc_x: 2728, acc_y: 2256, acc_z: 13728, gyr_x: -53, gyr_y: 28, gyr_z: -39, temp: 1306
pit: -7.33, rol: -1.81, yaw: -36.14, acc_x: 2444, acc_y: 2858, acc_z: 15656, gyr_x: -13, gyr_y: 161, gyr_z: -198, temp: 1306
pit: -5.60, rol: -1.34, yaw: -37.80, acc_x: 840, acc_y: 1158, acc_z: 17286, gyr_x: -102, gyr_y: 192, gyr_z: -421, temp: 1304
pit: -4.90, rol: -1.12, yaw: -39.15, acc_x: 504, acc_y: 2116, acc_z: 12086, gyr_x: 19, gyr_y: -149, gyr_z: -69, temp: 1303
pit: -3.78, rol: -2.64, yaw: -39.31, acc_x: 2450, acc_y: 460, acc_z: 12498, gyr_x: -246, gyr_y: 157, gyr_z: 72, temp: 1304
pit: -4.47, rol: -2.91, yaw: -40.02, acc_x: 2992, acc_y: 2354, acc_z: 10744, gyr_x: 249, gyr_y: -368, gyr_z: -205, temp: 1303
pit: -5.76, rol: -1.47, yaw: -40.83, acc_x: 3154, acc_y: 1934, acc_z: 12998, gyr_x: 165, gyr_y: -173, gyr_z: 4, temp: 1304
pit: -6.01, rol: 0.20, yaw: -40.84, acc_x: 1438, acc_y: 4008, acc_z: 14238, gyr_x: 316, gyr_y: 150, gyr_z: 284, temp: 1304
pit: -2.84, rol: -0.19, yaw: -39.15, acc_x: -820, acc_y: -912, acc_z: 16958, gyr_x: -174, gyr_y: 498, gyr_z: 495, temp: 1303
pit: -3.27, rol: -0.72, yaw: -38.36, acc_x: 354, acc_y: 1596, acc_z: 12878, gyr_x: -111, gyr_y: 17, gyr_z: -104, temp: 1303
pit: -3.43, rol: -1.48, yaw: -37.89, acc_x: 1830, acc_y: 954, acc_z: 12268, gyr_x: -86, gyr_y: -174, gyr_z: 62, temp: 1303
pit: -4.64, rol: -1.52, yaw: -38.54, acc_x: 1150, acc_y: 1664, acc_z: 12480, gyr_x: -43, gyr_y: -135, gyr_z: -141, temp: 1303
pit: -4.46, rol: -1.51, yaw: -39.33, acc_x: -556, acc_y: 1832, acc_z: 16524, gyr_x: -102, gyr_y: 97, gyr_z: -178, temp: 1304
pit: -4.45, rol: -0.25, yaw: -40.22, acc_x: 1524, acc_y: 3684, acc_z: 15336, gyr_x: 76, gyr_y: -79, gyr_z: -190, temp: 1301
pit: -2.81, rol: -0.81, yaw: -40.95, acc_x: -1260, acc_y: -870, acc_z: 17136, gyr_x: -54, gyr_y: -77, gyr_z: 69, temp: 1302
pit: -3.89, rol: -1.10, yaw: -40.42, acc_x: 2668, acc_y: 1960, acc_z: 12822, gyr_x: -292, gyr_y: 204, gyr_z: 166, temp: 1301
pit: -2.81, rol: -1.72, yaw: -40.80, acc_x: -244, acc_y: 1396, acc_z: 13540, gyr_x: 45, gyr_y: 117, gyr_z: -166, temp: 1302
pit: -3.22, rol: -0.80, yaw: -40.81, acc_x: 1484, acc_y: 2788, acc_z: 11790, gyr_x: 31, gyr_y: -276, gyr_z: 136, temp: 1300
pit: -3.97, rol: -0.35, yaw: -39.83, acc_x: 3342, acc_y: 3430, acc_z: 13914, gyr_x: 152, gyr_y: -333, gyr_z: 57, temp: 1298
pit: -3.61, rol: 0.26, yaw: -38.71, acc_x: 5076, acc_y: 2144, acc_z: 16536, gyr_x: -133, gyr_y: 27, gyr_z: 254, temp: 1300
pit: -1.80, rol: -0.80, yaw: -37.67, acc_x: 1562, acc_y: 500, acc_z: 15686, gyr_x: 299, gyr_y: -583, gyr_z: -120, temp: 1300
pit: -1.99, rol: -0.37, yaw: -38.14, acc_x: -512, acc_y: 636, acc_z: 12538, gyr_x: -98, gyr_y: -40, gyr_z: 286, temp: 1298
pit: -2.93, rol: -0.94, yaw: -37.14, acc_x: 1398, acc_y: 1790, acc_z: 11478, gyr_x: -140, gyr_y: 62, gyr_z: 189, temp: 1300
pit: -3.31, rol: -1.47, yaw: -36.35, acc_x: 1496, acc_y: 2578, acc_z: 14716, gyr_x: -1, gyr_y: 12, gyr_z: 208, temp: 1298
pit: -3.44, rol: -0.71, yaw: -36.31, acc_x: 1272, acc_y: 2994, acc_z: 14954, gyr_x: 299, gyr_y: -174, gyr_z: -20, temp: 1300
pit: -1.04, rol: -1.17, yaw: -37.51, acc_x: -4810, acc_y: 1664, acc_z: 18694, gyr_x: -739, gyr_y: 1454, gyr_z: 80, temp: 1300
pit: 2.22, rol: -2.87, yaw: -35.96, acc_x: 3212, acc_y: -1794, acc_z: 15688, gyr_x: 704, gyr_y: -538, gyr_z: 3, temp: 1299
